CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited,Satisfaction Score,Point Earned
619,0.42,2,0.0,1,1,0.5067444,1,2,464
608,0.41,1,83807.86,1,1,0.5627129,0,3,456
502,0.42,8,159660.8,3,0,0.56965785,1,3,377
699,0.39,1,0.0,2,0,0.46913315,0,5,350
850,0.43,2,125510.82,1,1,0.3954205,0,5,425
645,0.44,8,113755.78,2,0,0.74878355,1,5,484
822,0.5,7,0.0,2,1,0.050314,0,2,206
376,0.29,4,115046.74,4,0,0.5967344,1,2,282
501,0.44,4,142051.07,2,1,0.3747025,0,3,251
684,0.27,2,134603.88,1,1,0.35862865,0,3,342
528,0.31,6,102016.72,2,0,0.4009056,0,3,264
497,0.24,3,0.0,2,0,0.38195005,0,3,249
476,0.34,10,0.0,2,0,0.1313049,0,3,119
549,0.25,5,0.0,2,0,0.95428895,0,3,549
635,0.35,7,0.0,2,1,0.32975825,0,2,318
616,0.45,3,143129.41,2,1,0.3216363,0,5,308
653,0.58,1,132602.88,1,0,0.02548835,1,2,163
549,0.24,9,0.0,2,1,0.07203205,0,3,544
587,0.45,6,0.0,1,0,0.7934240499999999,0,3,732
726,0.24,6,0.0,2,1,0.27362015,0,4,477
732,0.41,8,0.0,2,1,0.8544308500000001,0,3,568
636,0.32,8,0.0,2,0,0.6927772999999999,0,2,336
510,0.38,4,0.0,1,0,0.59456765,1,2,887
669,0.46,3,0.0,2,1,0.04243875,0,2,665
846,0.38,5,0.0,1,1,0.9380808,0,3,225
577,0.25,3,0.0,2,1,0.6225414499999999,0,3,659
756,0.36,2,136815.64,1,1,0.8502097500000001,0,5,236
571,0.44,9,0.0,2,0,0.19216675,0,4,448
574,0.43,3,141349.43,1,1,0.5009371499999999,0,5,499
411,0.29,0,59697.17,2,1,0.26741605,0,2,343
591,0.39,3,0.0,3,0,0.7023469,1,3,298
533,0.36,7,85311.7,1,1,0.78365955,0,5,628
553,0.41,9,110112.54,2,0,0.40949405,0,3,611
520,0.42,6,0.0,2,1,0.17205275,0,2,922
722,0.29,9,0.0,2,1,0.71016535,0,5,276
475,0.45,0,134264.04,1,0,0.13911495000000001,1,1,877
490,0.31,3,145260.23,1,1,0.57033385,0,4,471
804,0.33,7,76548.6,1,1,0.49226725,0,2,994
850,0.36,7,0.0,1,1,0.2040645,0,3,944
582,0.41,6,70349.48,2,1,0.8903702,0,5,419
472,0.4,4,0.0,1,0,0.3507711,0,4,545
465,0.51,8,122522.32,1,0,0.90648825,1,5,828
556,0.61,2,117419.35,1,1,0.47076915,0,3,789
834,0.49,2,131394.56,1,0,0.9718288,1,2,567
660,0.61,5,155931.11,1,1,0.79169195,0,1,884
