CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited,Satisfaction Score,Point Earned
0.619,0.42,0.2,0.0,0.25,1.0,0.5067444,1,0.4,0.464
0.608,0.41,0.1,0.33523144,0.25,1.0,0.5627129,0,0.6,0.456
0.502,0.42,0.8,0.6386432,0.75,0.0,0.56965785,1,0.6,0.377
0.699,0.39,0.1,0.0,0.5,0.0,0.46913315,0,1.0,0.35
0.85,0.43,0.2,0.50204328,0.25,1.0,0.3954205,0,1.0,0.425
0.645,0.44,0.8,0.45502312,0.5,0.0,0.74878355,1,1.0,0.484
0.822,0.5,0.7,0.0,0.5,1.0,0.050314,0,0.4,0.206
0.376,0.29,0.4,0.46018696000000003,1.0,0.0,0.5967344,1,0.4,0.282
0.501,0.44,0.4,0.56820428,0.5,1.0,0.3747025,0,0.6,0.251
0.684,0.27,0.2,0.53841552,0.25,1.0,0.35862865,0,0.6,0.342
0.528,0.31,0.6,0.40806688,0.5,0.0,0.4009056,0,0.6,0.264
0.497,0.24,0.3,0.0,0.5,0.0,0.38195005,0,0.6,0.249
0.476,0.34,1.0,0.0,0.5,0.0,0.1313049,0,0.6,0.119
0.549,0.25,0.5,0.0,0.5,0.0,0.95428895,0,0.6,0.549
0.635,0.35,0.7,0.0,0.5,1.0,0.32975825,0,0.4,0.318
0.616,0.45,0.3,0.57251764,0.5,1.0,0.3216363,0,1.0,0.308
0.653,0.58,0.1,0.53041152,0.25,0.0,0.02548835,1,0.4,0.163
0.549,0.24,0.9,0.0,0.5,1.0,0.07203205,0,0.6,0.544
0.587,0.45,0.6,0.0,0.25,0.0,0.7934240499999999,0,0.6,0.732
0.726,0.24,0.6,0.0,0.5,1.0,0.27362015,0,0.8,0.477
0.732,0.41,0.8,0.0,0.5,1.0,0.8544308500000001,0,0.6,0.568
0.636,0.32,0.8,0.0,0.5,0.0,0.6927772999999999,0,0.4,0.336
0.51,0.38,0.4,0.0,0.25,0.0,0.59456765,1,0.4,0.887
0.669,0.46,0.3,0.0,0.5,1.0,0.04243875,0,0.4,0.665
0.846,0.38,0.5,0.0,0.25,1.0,0.9380808,0,0.6,0.225
0.577,0.25,0.3,0.0,0.5,1.0,0.6225414499999999,0,0.6,0.659
0.756,0.36,0.2,0.5472625600000001,0.25,1.0,0.8502097500000001,0,1.0,0.236
0.571,0.44,0.9,0.0,0.5,0.0,0.19216675,0,0.8,0.448
0.574,0.43,0.3,0.56539772,0.25,1.0,0.5009371499999999,0,1.0,0.499
0.411,0.29,0.0,0.23878868,0.5,1.0,0.26741605,0,0.4,0.343
0.591,0.39,0.3,0.0,0.75,0.0,0.7023469,1,0.6,0.298
0.533,0.36,0.7,0.34124679999999996,0.25,1.0,0.78365955,0,1.0,0.628
0.553,0.41,0.9,0.44045016,0.5,0.0,0.40949405,0,0.6,0.611
0.52,0.42,0.6,0.0,0.5,1.0,0.17205275,0,0.4,0.922
0.722,0.29,0.9,0.0,0.5,1.0,0.71016535,0,1.0,0.276
0.475,0.45,0.0,0.53705616,0.25,0.0,0.13911495000000001,1,0.2,0.877
0.49,0.31,0.3,0.5810409200000001,0.25,1.0,0.57033385,0,0.8,0.471
0.804,0.33,0.7,0.30619440000000003,0.25,1.0,0.49226725,0,0.4,0.994
0.85,0.36,0.7,0.0,0.25,1.0,0.2040645,0,0.6,0.944
0.582,0.41,0.6,0.28139791999999997,0.5,1.0,0.8903702,0,1.0,0.419
0.472,0.4,0.4,0.0,0.25,0.0,0.3507711,0,0.8,0.545
0.465,0.51,0.8,0.49008928,0.25,0.0,0.90648825,1,1.0,0.828
0.556,0.61,0.2,0.4696774,0.25,1.0,0.47076915,0,0.6,0.789
0.834,0.49,0.2,0.52557824,0.25,0.0,0.9718288,1,0.4,0.567
0.66,0.61,0.5,0.6237244399999999,0.25,1.0,0.79169195,0,0.2,0.884
0.776,0.32,0.4,0.43768452,0.5,1.0,0.6325873000000001,0,0.2,0.296
0.829,0.27,0.9,0.44818268,0.25,1.0,0.59854105,1,0.6,0.779
0.637,0.39,0.9,0.5513752,0.25,1.0,0.588114,1,0.2,0.73
0.55,0.38,0.2,0.41356552,0.25,1.0,0.45439065,0,0.6,0.96
0.776,0.37,0.2,0.41507688,0.5,0.0,0.9704956,0,0.2,0.268
0.698,0.44,1.0,0.46545348,0.5,0.0,0.9902958000000001,0,0.8,0.829
0.585,0.36,0.5,0.58420388,0.5,0.0,0.43212285000000006,0,0.6,0.665
0.788,0.33,0.5,0.0,0.5,0.0,0.58489095,0,0.6,0.982
0.655,0.41,0.8,0.50224788,0.25,0.0,0.8202047,1,0.6,0.343
0.601,0.42,0.1,0.39398288,0.25,0.0,0.20007380000000002,1,0.4,0.225
0.619,0.43,0.1,0.50084768,0.25,1.0,0.56705245,0,1.0,0.657
0.656,0.45,0.5,0.5114576,0.25,0.0,0.43553785000000006,0,0.4,0.221
0.725,0.19,0.0,0.3035528,0.25,0.0,0.22806875,0,0.4,0.406
0.511,0.66,0.4,0.0,0.25,0.0,0.00821555,1,1.0,0.549
0.614,0.51,0.4,0.16274368,0.25,1.0,0.23387639999999998,0,0.8,0.954
0.742,0.35,0.5,0.547428,0.25,0.0,0.42254785000000006,0,0.8,0.823
0.687,0.27,0.9,0.60931552,0.5,0.0,0.6324741,0,1.0,0.769
0.555,0.33,0.1,0.22433876,0.5,0.0,0.89399065,0,1.0,0.481
0.684,0.56,0.8,0.31482864,0.25,1.0,0.4969918,0,0.8,0.903
0.603,0.26,0.4,0.43666548,0.25,1.0,0.46420335,0,0.6,0.882
0.751,0.36,0.6,0.67932584,0.5,1.0,0.1387918,0,1.0,0.379
0.581,0.34,0.1,0.40653216,0.25,0.0,0.55215755,0,0.6,0.469
0.735,0.43,1.0,0.49272003999999997,0.5,1.0,0.9833664,0,0.6,0.683
0.661,0.35,0.5,0.60290212,0.5,1.0,0.56828425,0,0.2,0.77
0.675,0.21,0.8,0.39349303999999996,0.25,0.0,0.091015,0,1.0,0.985
0.738,0.58,0.2,0.53498176,1.0,0.0,0.1418693,1,0.8,0.725
0.813,0.29,0.6,0.0,0.25,0.0,0.16976935,0,0.6,0.259
0.657,0.37,0.0,0.65442872,0.25,1.0,0.22101775,0,0.4,0.979
0.604,0.25,0.5,0.63112336,0.5,1.0,0.29213405,0,0.4,0.988
0.519,0.36,0.9,0.0,0.5,1.0,0.727812,0,0.4,0.833
0.735,0.21,0.1,0.71487276,0.5,0.0,0.11194,0,0.2,0.527
0.664,0.55,0.8,0.0,0.5,1.0,0.6958082000000001,0,1.0,0.22
0.678,0.32,0.9,0.0,0.25,1.0,0.7410532000000001,0,0.8,0.983
