x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.42,0.51,1,0.865512,0.848,0.859845,0.842,0.776012,0.735,0.817492,0.802,0.127158,0.195,0.014921,0.054
0.42,0.51,2,0.918390,0.906,0.904104,0.898,0.785756,0.771,0.856597,0.837,0.342293,0.385,0.052579,0.110
0.42,0.51,3,0.950487,0.943,0.929728,0.919,0.808413,0.792,0.889348,0.878,0.535364,0.547,0.104680,0.171
0.42,0.51,4,0.969964,0.969,0.945543,0.944,0.851191,0.836,0.916014,0.897,0.682257,0.691,0.165235,0.229
0.42,0.51,5,0.981780,0.981,0.955917,0.949,0.907397,0.902,0.937181,0.925,0.786398,0.777,0.229911,0.287
0.42,0.51,6,0.988948,0.987,0.963104,0.967,0.954310,0.943,0.953610,0.948,0.857669,0.861,0.295606,0.344
0.42,0.51,7,0.993297,0.994,0.968324,0.958,0.980779,0.977,0.966117,0.956,0.905546,0.890,0.360154,0.395
0.42,0.51,8,0.995934,0.997,0.972266,0.975,0.992535,0.996,0.975481,0.971,0.937398,0.934,0.422093,0.448
0.41,0.56,1,0.817048,0.810,0.809339,0.800,0.698136,0.687,0.746559,0.740,0.115552,0.179,0.013393,0.051
0.41,0.56,2,0.888982,0.876,0.869548,0.869,0.711267,0.712,0.794258,0.774,0.315001,0.366,0.047222,0.104
0.41,0.56,3,0.932645,0.925,0.904405,0.888,0.741798,0.738,0.835511,0.824,0.498726,0.516,0.094093,0.154
0.41,0.56,4,0.959140,0.964,0.925919,0.924,0.799446,0.784,0.870255,0.858,0.642831,0.664,0.148689,0.207
0.41,0.56,5,0.975214,0.971,0.940031,0.931,0.875194,0.866,0.898845,0.894,0.748593,0.755,0.207170,0.263
0.41,0.56,6,0.984966,0.986,0.949808,0.947,0.938419,0.933,0.921905,0.918,0.823827,0.816,0.266796,0.314
0.41,0.56,7,0.990881,0.989,0.956909,0.955,0.974093,0.973,0.940195,0.929,0.876566,0.877,0.325652,0.362
