epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical
1,0.681350,0.870,0.667923,0.880,0.466154,1.000,0.560929,0.806,0.083138,0.197
2,0.806637,0.930,0.772789,0.906,0.466975,1.000,0.647928,0.837,0.238244,0.351
3,0.882686,0.959,0.833501,0.942,0.461343,1.000,0.722500,0.822,0.394073,0.449
4,0.928833,0.964,0.870972,0.950,0.422137,1.000,0.783659,0.854,0.527617,0.589
5,0.956830,0.985,0.895550,0.958,0.314424,1.000,0.832326,0.860,0.634866,0.667
6,0.973815,0.994,0.912580,0.959,0.176257,1.000,0.870333,0.880,0.718479,0.751
7,0.984117,0.991,0.924947,0.973,0.079131,1.000,0.899709,0.902,0.782812,0.778
8,0.990366,0.994,0.934288,0.973,0.031590,1.000,0.922310,0.919,0.832082,0.819
9,0.994157,1.000,0.941576,0.975,0.011992,1.000,0.939681,0.947,0.869811,0.838
10,0.996456,0.999,0.947413,0.989,0.004464,1.000,0.953050,0.942,0.898764,0.902
