x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.42,0.51,1,0.667223,0.748,0.655209,0.733,0.495354,0.631,0.546924,0.672,0.083734,0.163,0.009291,0.047
0.42,0.51,2,0.791566,0.841,0.757277,0.828,0.514345,0.644,0.604856,0.700,0.238088,0.322,0.032876,0.093
0.42,0.51,3,0.870996,0.914,0.819247,0.876,0.559560,0.686,0.660083,0.748,0.391821,0.459,0.065843,0.139
0.42,0.51,4,0.920805,0.949,0.858546,0.910,0.648942,0.763,0.711226,0.789,0.522957,0.594,0.104699,0.189
0.42,0.51,5,0.951616,0.972,0.884759,0.927,0.774275,0.854,0.757354,0.820,0.628131,0.686,0.146915,0.228
0.42,0.51,6,0.970525,0.982,0.903123,0.937,0.885660,0.927,0.798001,0.848,0.710232,0.763,0.190660,0.277
0.42,0.51,7,0.982075,0.987,0.916564,0.950,0.951199,0.971,0.833115,0.876,0.773624,0.817,0.234619,0.325
0.42,0.51,8,0.989111,0.993,0.926774,0.955,0.980926,0.986,0.862954,0.900,0.822434,0.851,0.277868,0.364
0.41,0.56,1,0.689075,0.755,0.677114,0.752,0.526946,0.636,0.576341,0.666,0.087787,0.160,0.009889,0.046
0.41,0.56,2,0.805137,0.846,0.772989,0.830,0.544874,0.654,0.631566,0.712,0.246740,0.328,0.034920,0.091
0.41,0.56,3,0.879500,0.915,0.831068,0.871,0.587508,0.690,0.684152,0.758,0.402767,0.469,0.069739,0.139
0.41,0.56,4,0.926063,0.951,0.867853,0.905,0.671593,0.758,0.732846,0.797,0.534593,0.589,0.110524,0.185
0.41,0.56,5,0.954843,0.972,0.892371,0.930,0.789135,0.841,0.776780,0.829,0.639733,0.687,0.154530,0.233
0.41,0.56,6,0.972496,0.980,0.909540,0.939,0.893305,0.924,0.815501,0.859,0.721570,0.765,0.199800,0.279
0.41,0.56,7,0.983275,0.989,0.922101,0.948,0.954489,0.969,0.848933,0.886,0.784653,0.813,0.244962,0.321
0.41,0.56,8,0.989840,0.993,0.931640,0.954,0.982216,0.989,0.877293,0.906,0.833144,0.863,0.289086,0.361
0.42,0.57,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.984455,1.000,0.153478,0.246,0.019042,0.073
0.42,0.57,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.988065,1.000,0.394350,0.457,0.066662,0.148
0.42,0.57,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.990982,1.000,0.594743,0.625,0.131492,0.223
0.42,0.57,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.993284,1.000,0.737067,0.749,0.205275,0.295
0.42,0.57,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.995062,1.000,0.831876,0.838,0.282167,0.364
0.42,0.57,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.996409,1.000,0.893183,0.897,0.358186,0.423
0.42,0.57,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.997414,1.000,0.932271,0.933,0.430760,0.487
0.42,0.57,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.998152,1.000,0.957041,0.960,0.498349,0.549
0.39,0.47,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.983439,1.000,0.153260,0.242,0.019039,0.075
0.39,0.47,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.986505,1.000,0.393489,0.454,0.066637,0.149
0.39,0.47,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.989219,1.000,0.593270,0.627,0.131394,0.223
0.39,0.47,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.991544,1.000,0.735254,0.752,0.205036,0.294
0.39,0.47,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.993476,1.000,0.829995,0.833,0.281716,0.361
0.39,0.47,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.995040,1.000,0.891417,0.895,0.357464,0.430
0.39,0.47,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.996277,1.000,0.930718,0.931,0.429722,0.485
0.39,0.47,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.997235,1.000,0.955734,0.954,0.496975,0.534
0.43,0.40,1,0.661181,0.732,0.667973,0.728,0.561854,0.626,0.597226,0.669,0.091118,0.164,0.010592,0.046
0.43,0.40,2,0.810718,0.824,0.806482,0.815,0.580912,0.647,0.638600,0.717,0.249059,0.318,0.037283,0.094
0.43,0.40,3,0.900082,0.889,0.858191,0.844,0.625223,0.678,0.677809,0.750,0.397322,0.461,0.074114,0.139
0.43,0.40,4,0.939386,0.908,0.890105,0.855,0.708893,0.757,0.714326,0.777,0.517844,0.576,0.116798,0.185
0.43,0.40,5,0.963232,0.896,0.911039,0.921,0.818837,0.842,0.747823,0.801,0.611186,0.661,0.162272,0.233
0.43,0.40,6,0.977698,0.949,0.925543,0.936,0.910609,0.920,0.778159,0.828,0.682583,0.746,0.208387,0.280
0.43,0.40,7,0.986472,0.989,0.936077,0.937,0.962394,0.974,0.805353,0.856,0.737431,0.786,0.253681,0.325
0.43,0.40,8,0.991795,0.993,0.944033,0.950,0.985394,0.985,0.829534,0.872,0.780099,0.824,0.297200,0.366
0.44,0.75,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.985523,1.000,0.146985,0.237,0.018980,0.075
0.44,0.75,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.989609,1.000,0.368639,0.435,0.065907,0.146
0.44,0.75,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.992596,1.000,0.550384,0.588,0.128570,0.220
0.44,0.75,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.994743,1.000,0.681659,0.700,0.198198,0.285
0.44,0.75,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.996273,1.000,0.773212,0.784,0.268905,0.347
0.44,0.75,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.997361,1.000,0.836775,0.845,0.337038,0.409
